State_name,State_canonical_name,State_Alien_Status,APC_name,APC_canonical_name,APC_Alien_Status,APC_Authorship,taxa_status,Status_comparison,Unified_status,establishment_means,degree_of_establishment
Desmodium trichostachyum Benth.,Desmodium trichostachyum,native,Grona trichostachya (Benth.) H.Ohashi & K.Ohashi,Grona trichostachya,native,(Benth.) H.Ohashi & K.Ohashi,nomenclatural synonym,Similar for the state flora and the APC,native,native,native
Desmodium triflorum (L.) DC.,Desmodium triflorum,introduced,Grona triflora (L.) H.Ohashi & K.Ohashi,Grona triflora,naturalised,(L.) H.Ohashi & K.Ohashi,nomenclatural synonym,"According to the state flora is introduced, while according to the APC is naturalised",naturalised,introduced,established
Desmodium velutinum (Willd.) DC.,Desmodium velutinum,native,Polhillides velutina (Willd.) H.Ohashi & K.Ohashi,Polhillides velutina,native,(Willd.) H.Ohashi & K.Ohashi,nomenclatural synonym,Similar for the state flora and the APC,native,native,native
Desmos wardianus (F.M.Bailey) Jessup,Desmos wardianus,native,Desmos wardianus (F.M.Bailey) Jessup,Desmos wardianus,native,(F.M.Bailey) Jessup,accepted,Similar for the state flora and the APC,native,native,native
Dianella longifolia R.Br.,Dianella longifolia,native,Dianella longifolia R.Br.,Dianella longifolia,native,R.Br.,accepted,Similar for the state flora and the APC,native,native,native
Dianella longifolia R.Br. var. longifolia,Dianella longifolia var. longifolia,native,Dianella longifolia R.Br. var. longifolia,Dianella longifolia var. longifolia,native,NA,accepted,Similar for the state flora and the APC,native,native,native
Dianella odorata Blume,Dianella odorata,native,Dianella odorata Blume,Dianella odorata,native,Blume,accepted,Similar for the state flora and the APC,native,native,native
Dicarpidium monoicum F.Muell.,Dicarpidium monoicum,native,Dicarpidium monoicum F.Muell.,Dicarpidium monoicum,native,F.Muell.,accepted,Similar for the state flora and the APC,native,native,native
Dicarpidium sp. Arnhem Land (L.A.Craven 2494) Cowie,Dicarpidium sp. Arnhem Land,native,NA,NA,NA,NA,NA,Not listed on the APC with the name appearing on the state flora,native,native,native
Dicarpidium sp. Nabarlek (R.Hinz 561) Cowie,Dicarpidium sp. Nabarlek,native,NA,NA,NA,NA,NA,Not listed on the APC with the name appearing on the state flora,native,native,native
Dicarpidium sp. Purnululu (K.A.Menkhorst 766) Cowie,Dicarpidium sp. Purnululu,native,NA,NA,NA,NA,NA,Not listed on the APC with the name appearing on the state flora,native,native,native
Dicarpidium sp. Ubirr (N.Byrnes 2821) Cowie,Dicarpidium sp. Ubirr,native,NA,NA,NA,NA,NA,Not listed on the APC with the name appearing on the state flora,native,native,native
Dichanthium annulatum (Forssk.) Stapf,Dichanthium annulatum,introduced,Dichanthium annulatum (Forssk.) Stapf,Dichanthium annulatum,naturalised,(Forssk.) Stapf,accepted,"According to the state flora is introduced, while according to the APC is naturalised",naturalised,introduced,established
Dichanthium fecundum S.T.Blake,Dichanthium fecundum,native,Dichanthium fecundum S.T.Blake,Dichanthium fecundum,native,S.T.Blake,accepted,Similar for the state flora and the APC,native,native,native
Dichanthium sericeum (R.Br.) A.Camus,Dichanthium sericeum,native,Dichanthium sericeum (R.Br.) A.Camus,Dichanthium sericeum,native,(R.Br.) A.Camus,accepted,Similar for the state flora and the APC,native,native,native
