State_canonical_name,State_Alien_Status,APC_name,APC_canonical_name,APC_Alien_Status,APC_Authorship,taxa_status,Status_comparison,Unified_status,establishment_means,degree_of_establishment
Melaleuca parvistaminea,introduced,Melaleuca parvistaminea Byrnes,Melaleuca parvistaminea,naturalised,Byrnes,accepted,"According to the state flora is introduced, while according to the APC is naturalised",naturalised,introduced,established
Melaleuca pityoides,native,Callistemon pityoides F.Muell.,Callistemon pityoides,native,F.Muell.,nomenclatural synonym,Similar for the state flora and the APC,native,native,native
Melaleuca subulata,introduced,Callistemon subulatus Cheel,Callistemon subulatus,naturalised,Cheel,nomenclatural synonym,"According to the state flora is introduced, while according to the APC is naturalised",naturalised,introduced,established
Melichrus urceolatus,native,Melichrus urceolatus R.Br.,Melichrus urceolatus,native,R.Br.,accepted,Similar for the state flora and the APC,native,native,native
Melicytus angustifolius subsp. divaricatus,native,Melicytus angustifolius subsp. divaricatus Stajsic & R.F.Douglas,Melicytus angustifolius subsp. divaricatus,native,Stajsic & R.F.Douglas,accepted,Similar for the state flora and the APC,native,native,native
Melicytus dentatus,doubtfully naturalised,Melicytus dentatus (DC.) Molloy & Mabb.,Melicytus dentatus,NA,(DC.) Molloy & Mabb.,accepted,Not recorded on the APC as present in this state,doubtfully naturalised,introduced,established
Melilotus albus,introduced,Melilotus albus Medik.,Melilotus albus,naturalised,Medik.,accepted,"According to the state flora is introduced, while according to the APC is naturalised",naturalised,introduced,established
Melilotus indicus,introduced,Melilotus indicus (L.) All.,Melilotus indicus,NA,(L.) All.,accepted,Not recorded on the APC as present in this state,introduced,introduced,not enough information to assign degree of establishment
Melinis repens,doubtfully naturalised,Melinis repens (Willd.) Zizka,Melinis repens,doubtfully naturalised,(Willd.) Zizka,accepted,Similar for the state flora and the APC,doubtfully naturalised,introduced,established
Mentha australis,native,Mentha australis R.Br.,Mentha australis,native,R.Br.,accepted,Similar for the state flora and the APC,native,native,native
Mentha diemenica,native,Mentha diemenica Spreng.,Mentha diemenica,native,Spreng.,accepted,Similar for the state flora and the APC,native,native,native
Mentha laxiflora,native,Mentha laxiflora Benth.,Mentha laxiflora,native,Benth.,accepted,Similar for the state flora and the APC,native,native,native
Mentha spicata,introduced,Mentha spicata L.,Mentha spicata,formerly naturalised,L.,accepted,"According to the state flora is introduced, while according to the APC is formerly naturalised",introduced,introduced,not enough information to assign degree of establishment
Mentha x piperita var. citrata,introduced,Mentha x piperita var. citrata (Ehrh.) Briq.,Mentha x piperita var. citrata,naturalised,(Ehrh.) Briq.,accepted,"According to the state flora is introduced, while according to the APC is naturalised",naturalised,introduced,established
Micrantheum hexandrum,native,Micrantheum hexandrum Hook.f.,Micrantheum hexandrum,native,Hook.f.,accepted,Similar for the state flora and the APC,native,native,native
Microlaena stipoides var. stipoides,native,Microlaena stipoides (Labill.) R.Br. var. stipoides,Microlaena stipoides var. stipoides,native,NA,accepted,Similar for the state flora and the APC,native,native,native
Micromyrtus ciliata,native,Micromyrtus ciliata (Sm.) Druce,Micromyrtus ciliata,native,(Sm.) Druce,accepted,Similar for the state flora and the APC,native,native,native
Microseris lanceolata,native,Microseris lanceolata (Walp.) Sch.Bip.,Microseris lanceolata,native,(Walp.) Sch.Bip.,accepted,Similar for the state flora and the APC,native,native,native
Microseris walteri,native,Microseris walteri Gand.,Microseris walteri,native,Gand.,accepted,Similar for the state flora and the APC,native,native,native
Microsorum pustulatum subsp. pustulatum,native,Zealandia pustulata (G.Forst.) Testo & A.R.Field subsp. pustulata,Zealandia pustulata subsp. pustulata,native,NA,nomenclatural synonym,Similar for the state flora and the APC,native,native,native
Microtis arenaria,native,Microtis arenaria Lindl.,Microtis arenaria,NA,Lindl.,accepted,Not recorded on the APC as present in this state,native,native,native
Microtis oblonga,native,Microtis oblonga R.S.Rogers,Microtis oblonga,native,R.S.Rogers,accepted,Similar for the state flora and the APC,native,native,native
Microtis parviflora,native,Microtis parviflora R.Br.,Microtis parviflora,native,R.Br.,accepted,Similar for the state flora and the APC,native,native,native
Mirabilis jalapa,doubtfully naturalised,Mirabilis jalapa L.,Mirabilis jalapa,doubtfully naturalised,L.,accepted,Similar for the state flora and the APC,doubtfully naturalised,introduced,established
Mirbelia oxylobioides,native,Mirbelia oxylobioides F.Muell.,Mirbelia oxylobioides,native,F.Muell.,accepted,Similar for the state flora and the APC,native,native,native
Mirbelia pungens,native,Mirbelia pungens A.Cunn. ex G.Don,Mirbelia pungens,native,A.Cunn. ex G.Don,accepted,Similar for the state flora and the APC,native,native,native
Mitrasacme serpyllifolia,native,Mitrasacme serpyllifolia R.Br.,Mitrasacme serpyllifolia,native,R.Br.,accepted,Similar for the state flora and the APC,native,native,native
Modiola caroliniana,introduced,Modiola caroliniana (L.) G.Don,Modiola caroliniana,naturalised,(L.) G.Don,accepted,"According to the state flora is introduced, while according to the APC is naturalised",naturalised,introduced,established
Moenchia erecta,introduced,"Moenchia erecta (L.) G.Gaertn., B.Mey. & Scherb.",Moenchia erecta,naturalised,"(L.) G.Gaertn., B.Mey. & Scherb.",accepted,"According to the state flora is introduced, while according to the APC is naturalised",naturalised,introduced,established
Monotoca scoparia,native,Monotoca scoparia (Sm.) R.Br.,Monotoca scoparia,native,(Sm.) R.Br.,accepted,Similar for the state flora and the APC,native,native,native
Montia australasica,native,Montia australasica (Hook.f.) Pax & K.Hoffm.,Montia australasica,NA,(Hook.f.) Pax & K.Hoffm.,accepted,Not recorded on the APC as present in this state,native,native,native
Montia fontana subsp. amporitana,native,Montia fontana subsp. amporitana Sennen,Montia fontana subsp. amporitana,native,Sennen,accepted,Similar for the state flora and the APC,native,native,native
Montia fontana subsp. chondrosperma,native,Montia fontana subsp. chondrosperma (Fenzl) Walters,Montia fontana subsp. chondrosperma,native,(Fenzl) Walters,accepted,Similar for the state flora and the APC,native,native,native
Muehlenbeckia axillaris,native,Muehlenbeckia axillaris (Hook.f.) Endl.,Muehlenbeckia axillaris,NA,(Hook.f.) Endl.,accepted,Not recorded on the APC as present in this state,native,native,native
Muehlenbeckia tuggeranong,native,Muehlenbeckia tuggeranong Mallinson,Muehlenbeckia tuggeranong,native,Mallinson,accepted,Similar for the state flora and the APC,native,native,native
Muellerina bidwillii,native,Muellerina bidwillii (Benth.) Barlow,Muellerina bidwillii,native,(Benth.) Barlow,accepted,Similar for the state flora and the APC,native,native,native
Muellerina eucalyptoides,native,Muellerina eucalyptoides (DC.) Barlow,Muellerina eucalyptoides,native,(DC.) Barlow,accepted,Similar for the state flora and the APC,native,native,native
Muscari armeniacum,introduced,Muscari armeniacum Leichtlin ex Baker,Muscari armeniacum,naturalised,Leichtlin ex Baker,accepted,"According to the state flora is introduced, while according to the APC is naturalised",naturalised,introduced,established
Myosotis australis,native,Myosotis australis R.Br.,Myosotis australis,native,R.Br.,accepted,Similar for the state flora and the APC,native,native,native
Myosotis discolor,introduced,Myosotis discolor Pers.,Myosotis discolor,naturalised,Pers.,accepted,"According to the state flora is introduced, while according to the APC is naturalised",naturalised,introduced,established
Myosotis exarrhena,native,Myosotis exarrhena F.Muell.,Myosotis exarrhena,native,F.Muell.,accepted,Similar for the state flora and the APC,native,native,native
Myosotis laxa subsp. caespitosa,introduced,NA,NA,NA,NA,NA,Not listed on the APC with the name appearing on the state flora,introduced,introduced,not enough information to assign degree of establishment
Myosurus australis,native,Myosurus australis F.Muell.,Myosurus australis,native,F.Muell.,accepted,Similar for the state flora and the APC,native,native,native
Myriophyllum alpinum,native,Myriophyllum alpinum Orchard,Myriophyllum alpinum,native,Orchard,accepted,Similar for the state flora and the APC,native,native,native
