State_name,State_canonical_name,State_Alien_Status,APC_name,APC_canonical_name,APC_Alien_Status,APC_Authorship,taxa_status,Status_comparison,Unified_status,establishment_means,degree_of_establishment
Acacia mabellae Maiden,Acacia mabellae,native,Acacia mabellae Maiden,Acacia mabellae,native,Maiden,accepted,Similar for the state flora and the APC,native,native,native
Acacia macnuttiana Maiden & Blakely,Acacia macnuttiana,native,Acacia macnuttiana Maiden & Blakely,Acacia macnuttiana,native,Maiden & Blakely,accepted,Similar for the state flora and the APC,native,native,native
Acacia maidenii F.Muell.,Acacia maidenii,native,Acacia maidenii F.Muell.,Acacia maidenii,native,F.Muell.,accepted,Similar for the state flora and the APC,native,native,native
Acacia maitlandii F.Muell.,Acacia maitlandii,native,Acacia maitlandii F.Muell.,Acacia maitlandii,native,F.Muell.,accepted,Similar for the state flora and the APC,native,native,native
Acacia mariae Pedley,Acacia mariae,native,Acacia mariae Pedley,Acacia mariae,native,Pedley,accepted,Similar for the state flora and the APC,native,native,native
Acacia matthewii Tindale & S.J.Davies,Acacia matthewii,native,Acacia matthewii Tindale & S.J.Davies,Acacia matthewii,native,Tindale & S.J.Davies,accepted,Similar for the state flora and the APC,native,native,native
Acacia mearnsii De Wild.,Acacia mearnsii,native,Acacia mearnsii De Wild.,Acacia mearnsii,native colonising,De Wild.,accepted,"According to the state flora is native, while according to the APC is native colonising",native colonising,native,native
Acacia meiantha Tindale & Hersc.,Acacia meiantha,native,Acacia meiantha Tindale & Herscovitch,Acacia meiantha,native,Tindale & Herscovitch,accepted,Similar for the state flora and the APC,native,native,native
Acacia melanoxylon R.Br.,Acacia melanoxylon,native,Acacia melanoxylon R.Br.,Acacia melanoxylon,native,R.Br.,accepted,Similar for the state flora and the APC,native,native,native
Acacia melvillei-homalophylla,Acacia melvillei-homalophylla,native,NA,NA,NA,NA,NA,Not listed on the APC with the name appearing on the state flora,native,native,native
Acacia melvillei Pedley,Acacia melvillei,native,Acacia melvillei Pedley,Acacia melvillei,native,Pedley,accepted,Similar for the state flora and the APC,native,native,native
Acacia microcarpa F.Muell.,Acacia microcarpa,native,Acacia microcarpa F.Muell.,Acacia microcarpa,native,F.Muell.,accepted,Similar for the state flora and the APC,native,native,native
Acacia minyura Randell,Acacia minyura,NA,Acacia minyura Randell,Acacia minyura,NA,Randell,accepted,Not recorded on the APC as present in this state,NA,NA,NA
Acacia mitchellii Benth.,Acacia mitchellii,native,Acacia mitchellii Benth.,Acacia mitchellii,native,Benth.,accepted,Similar for the state flora and the APC,native,native,native
Acacia mollifolia Maiden & Blakely,Acacia mollifolia,native,Acacia mollifolia Maiden & Blakely,Acacia mollifolia,native,Maiden & Blakely,accepted,Similar for the state flora and the APC,native,native,native
Acacia montana Benth.,Acacia montana,native,Acacia montana Benth.,Acacia montana,native,Benth.,accepted,Similar for the state flora and the APC,native,native,native
Acacia mucronata subsp. longifolia (Benth.) Court,Acacia mucronata subsp. longifolia,native,Acacia mucronata subsp. longifolia (Benth.) Court,Acacia mucronata subsp. longifolia,native,(Benth.) Court,accepted,Similar for the state flora and the APC,native,native,native
Acacia mucronata Willd. ex H.L.Wendl.,Acacia mucronata,native,Acacia mucronata Willd. ex H.L.Wendl.,Acacia mucronata,native,Willd. ex H.L.Wendl.,accepted,Similar for the state flora and the APC,native,native,native
